County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Story,27,Story 27,947960,1,5,4,2,0,0.0%,5,0,1,3,4,2.5
Story,28,Story 28,947961,1,12,10,4,2,20.0%,10,0,0,1,3,3
Story,29,Story 29,947962,1,14,11,5,0,0.0%,14,0,0,1,1,0.5
Story,30,Story 30,947964,3,37,28,17,3,10.7%,34,0,2,4,9,7
Story,31,Story 31,947965,3,34,26,16,2,7.7%,32,0,1,12,15,8.5
Story,32,Story 32,947966,3,34,26,16,0,0.0%,34,0,2,15,17,9
Story,33,Story 33,947967,3,36,28,17,1,3.6%,35,0,3,8,12,8
Story,34,Story 34,947968,1,15,11,5,2,18.2%,13,0,2,7,11,7.5
Story,35,Story 35,947969,2,22,17,23,0,0.0%,22,0,0,1,1,0.5
Story,36,Story 36,947970,1,18,13,6,0,0.0%,18,0,0,3,3,2
Story,37,Story 37,947971,1,6,5,2,0,0.0%,6,0,0,4,4,2
Story,38,Story 38,947972,1,3,3,1,1,33.3%,2,1,0,2,3,1.5
Story,39,Story 39,947973,3,43,32,19,0,0.0%,43,0,3,11,14,8.5
Story,40,Story 40,947975,6,81,61,28,4,6.6%,77,0,8,39,51,30
Story,41,Story 41,947976,2,24,19,25,0,0.0%,24,0,4,7,11,7.5
Story,42,Story 42,947977,1,5,4,2,0,0.0%,5,0,0,0,0,0
Story,43,Story 43,947978,2,27,21,28,0,0.0%,27,0,1,4,5,3
Tama,Cb/Tm,Tama Cb/Tm,1593766,16,42,33,15,0,0.0%,42,0,1,4,5,3
Tama,Ck/Ge,Tama Ck/Ge,947985,9,24,18,8,0,0.0%,24,0,3,6,9,6
Tama,Cronnoc,Tama Cronnoc,1593767,3,11,9,5,0,0.0%,11,0,0,1,1,0.5
Tama,Ct,Tama Ct,947987,4,19,15,7,0,0.0%,19,0,1,2,3,2
Tama,Gr,Tama Gr,947988,1,4,3,1,0,0.0%,4,0,0,1,1,1
Tama,H/Tl,Tama H/Tl,1986594,5,9,7,3,0,0.0%,9,0,1,2,3,2
Tama,Hl/IV/T,Tama Hl/IV/T,1593768,4,18,13,6,0,0.0%,18,0,1,0,1,1
Tama,Is,Tama Is,947990,9,13,10,4,0,0.0%,13,0,0,1,1,0.5
Tama,Li,Tama Li,947991,1,3,3,1,1,33.3%,2,0,0,1,2,1
Tama,Py/Cy/B,Tama Py/Cy/B,947992,10,32,25,11,0,0.0%,32,0,0,2,2,1
Tama,Rl/St,Tama Rl/St,947993,3,7,6,4,0,0.0%,7,0,0,0,0,0
